Category,QuestionNumber,ExamRecord,Question,A,B,C,D,E,Answer,Explanation
鴉片類藥物,1,"102年第5題, 104年第50題",Choice a right equianalgesic factors compared to subcutaneous morphine.,Morphine (oral) 0.50,Codeine (oral) 0.20,Alfentanil (subcutaneous) 1.0,Oxycodone (parenteral) 5.0,None of above is right.,E,所有提供的等效止痛劑量換算係數均不符合臨床實際標準。這些係數應根據臨床經驗和研究數據進行調整，考慮到藥物的生物利用率、代謝途徑和患者的個體差異。根據Perplexity研究資料，等效劑量換算表僅提供一般估計，應用時需謹慎，以避免過量或治療不足。
鴉片類藥物,2,"102年第17題, 106年第1次第1題, 108年第1次第22題, 108年第2次第22題","Which opioid described below belong to ""full agonist""?",buprenorphine,fentanyl,nalbuphine,butorphanol,naltrexone,B,Fentanyl是μ-opioid受體的完全致效劑（full agonist），具有完整的受體激活能力。這意味著它能夠最大程度地激活受體，提供強效的止痛效果，常用於需要高效止痛的臨床情境，如手術後或癌症疼痛。
鴉片類藥物,3,102年第38題,Which of the following is Wrong?,"Opioids activate central μ opioid receptor which causing decreased peristalsis, decreased intestinal secretions, and increased sphincter tone.",Pain act as a physiologic antagonist to respiratory depression.,Up to two-thirds of patients experience nausea or vomiting during initiation of opioid therapy.,"Antihistamines, opioid antagonists, propofol and ondansetron have been used for the treatment of pruritus.",,A,選項A是錯誤的，因為鴉片類藥物主要作用於腸道局部的μ鴉片受體，而非中樞的μ鴉片受體來產生便秘效果。腸道內有豐富的μ鴉片受體分布，鴉片類藥物直接作用於腸道的這些受體，導致腸蠕動減少、腸道分泌減少和括約肌張力增加。這種腸道副作用主要是周邊作用機制，而非中樞神經系統的作用結果。
鴉片類藥物,4,102年第50題,Therapeutic plasma concentrations of a passive fentanyl patch 多於貼上皮膚後多久達成？,< 2 hours,< 4 hours,< 8 hours,< 12 hours,12-24 hours,E,Fentanyl貼片需要12-24小時才能達到治療血漿濃度，這是因為皮膚吸收的延遲時間。貼片中的藥物需先在皮膚表層形成藥物庫，再逐漸進入系統循環，這種緩慢釋放機制有助於維持穩定的血藥濃度。
鴉片類藥物,5,"103年第2題, 104年第16題, 106年第1次第15題, 107年第1次第9題, 107年第3次第9題, 108年第1次第50題, 108年第2次第50題","Based on clinical situations, which kind of opioids owns the highest oral bioavailability?",Hydromorphone,Morphine,Pethidine (meperidine),Oxycodone,Tramadol,E,Tramadol的口服生物利用率約為70-80%，在常用鴉片類藥物中最高。這意味著口服給藥後，較大比例的藥物能進入系統循環，提供有效的止痛效果，並且其代謝產物也具有止痛作用。
鴉片類藥物,6,"103年第32題, 104年第37題, 111年第46題, 113年第10題","Regarding the actions of spinal and supraspinal analgesia for opioids, which of the following statement is most likely:",Opioid receptors are mostly located at a predominantly 70% postsynaptic location on the central terminals of only small diameter nociceptive primary afferents.,"The contribution of kappa, delta and mu receptors to the total opiate binding throughout the spinal cord is estimated to be delta > mu >kappa.",Opioids inhibit OFF cells via GABA neurons and activate ON cells in the rostromedial medulla (RVM) leading to changes in spinal descending controls.** (103年、104年答案),Nitric oxide (NO) is required for the 5-HT-mediated inhibition of PAG output and reversal of antinociception.** (111年答案),"Fibers descending from the PAG to the dorsal horn of the spinal cord are mostly enkephalinergic, glycinergic and GABAergic.** (113年答案)",E,此選項正確。從中腦導水管周圍灰質(PAG)下行至脊髓背角的纖維主要是腦啡肽能(enkephalinergic)、甘胺酸能(glycinergic)和GABA能(GABAergic)神經纖維。這些抑制性神經傳導物質構成了內源性鎮痛系統的主要效應分子。腦啡肽作為內源性鴉片肽，直接激活脊髓的鴉片受體；甘胺酸和GABA作為主要的抑制性胺基酸神經傳導物質，透過超極化神經元膜電位來抑制傷害性訊號的傳遞。這種多重抑制機制確保了PAG下行通路的強效鎮痛作用。
鴉片類藥物,7,104年第5題,關於鴉片類藥物的敘述，以下何者最為正確？,嗎啡可能使肥胖細胞（mast cell）釋放組織胺（histamine）,Methadone 具有 NMDA 受體拮抗劑的特性，且不會被 naloxone 拮抗,鴉片類藥物作用在腦幹會降低呼吸中樞對缺氧（low PO2）的敏感性,使用鴉片類藥物造成便秘是屬於中樞性副作用（central side effect）,嗎啡的代謝產物 M3G 與 M6G 均有微弱的止痛效力,A,嗎啡確實可引起肥胖細胞脫顆粒，釋放組織胺，這是其引起搔癢和皮疹的機制之一。這種反應是由於嗎啡直接刺激肥胖細胞，導致組織胺釋放，進而引發過敏反應。
鴉片類藥物,8,"104年第20題, 106年第1次第32題, 107年第1次第19題, 107年第3次第19題, 108年第1次第7題, 108年第2次第7題",關於鴉片類藥物的敘述，下列何者最不正確？,Hydromorphone 效力比 morphine 強 3-5 倍（口服），且具有 NMDA 受體拮抗劑與血清素再吸收抑制（serotonin reuptake inhibitor）的特性,Buprenorphine 具有 μ receptor partial agonist 及 κ antagonist 之性質,Meperidine（pethidine）具有高度親脂性，容易引發「尋藥行為」（drug-seeking behavior）,Tapentadol 具有 μ agonist 與 noradrenaline reuptake inhibitor 之性質,以皮下作為給藥路徑可以提供緩慢穩定的吸收，唯給藥量不宜超過 5 mL/hr,A,Hydromorphone雖然效力比morphine強3-5倍，但它不具有NMDA受體拮抗劑與血清素再吸收抑制的特性。這些特性是Methadone的特徵，而非Hydromorphone。
鴉片類藥物,9,"104年第28題, 111年第27題, 114年第14題",關於鴉片類藥物的敘述，下列何者最不正確？,Codeine 在肝臟中經 cytochrome P450 2D6 進行 O-demethylation 後會產生 morphine,Tramadol 屬於 weak opioid 類藥物，口服生物利用率（oral bioavailability）差，對 neuropathic pain 和 fibromyalgia 效用不佳,Tramadol 造成嚴重呼吸抑制的風險極低，但嚴重腎功能障礙或嚴重藥物過量時仍可能發生,Oxycodone 的口服生物利用率比 morphine 高，且比較沒有 active metabolite 的疑慮,肝腎功能障礙對於 methadone 的代謝清除率（clearance）並沒有明顯的影響,B,Tramadol的口服生物利用率約70-80%（相當高），且對神經性疼痛和纖維肌痛症確實有效。它的作用機制包括弱μ受體激動和單胺再吸收抑制，這使其在多種疼痛狀況中有效。
鴉片類藥物,10,105年第11題,類鴉片藥物目前仍是臨床上用於疼痛控制的最主要藥物，以下有關於類鴉片藥物使用之注意事項何者為是?,類鴉片藥物是作用於類鴉片受體而產生止痛作用，各受體間有 Cross tolerance 存在，故使用 opioid rotation 和替代性並不能降低其相關之副作用 並增強其止痛效果。,慢性疼痛病人在使用嗎啡時最擔心的就是所謂的被貼標籤(stigmatization)。,長期使用嗎啡時，其代謝產物 M6G 具有止痛作用，而另一代謝產物 M3G 則會產生副作用。,Buprenorphine 的 first pass 較低，故口服錠效果佳。,Codeine 之主要作用是經由肝臟之 glucuronidation、N-demethylation 和 D-demethylation 而轉化成約 2-10％的嗎啡而產生止痛作用。,C,M6G確實具有強效止痛作用，而M3G主要產生副作用（如興奮、痙攣等），不具止痛效果。這是因為M6G能夠激活μ-opioid受體，而M3G則無此作用。
鴉片類藥物,11,105年第16題,Which one of the following statement is most appropriate?,Morphine can act on µ1 and µ2 opioid receptors.,µ1 opioid receptor can modulate Na+ and Cl- channels via G-protein.,"For human adults, the intrathecal bolus dose of morphine is 3-10 mg.","For human adults, the intrathecal bolus dose of morphine is 3-10 µg.",,A,嗎啡確實可以作用於μ1和μ2鴉片受體亞型。μ1受體主要負責鎮痛和欣快感，而μ2受體則與呼吸抑制、便秘和身體依賴性相關。嗎啡作為非選擇性的μ鴉片受體促效劑，對這兩個亞型都有親和力。這種雙重作用機制解釋了嗗啡既有強效鎮痛作用，同時也會產生相關副作用的原因。
